url,source,confirmation_method,is_reachable,http_status,reachability_error,label,rank,url_length,subdomain_count,has_https,special_char_count,keyword_score,character_entropy,tld_risk_score,has_ip_host,has_at_symbol,path_depth,query_param_count,digit_ratio,is_punycode_or_homograph,tranco_rank_bucket,brand_distance_score,brand_keyword_in_host,domain_age_days
http://jln-mvp-api.jp,tranco,,,,,0,678480.0,21,1,0,2,0,3.6304126608739975,0.5,0,0,0,0,0.0,0,1,12,0,617.0
http://qqokc.com,tranco,,,,,0,817448.0,16,1,0,0,0,3.375,0.0,0,0,0,0,0.0,0,1,4,0,248.0
http://bus-viewer.jp,tranco,,,,,0,670615.0,20,1,0,1,0,3.9219280948873623,0.5,0,0,0,0,0.0,0,1,10,0,463.0
http://atom.com,tranco,,,,,0,3912.0,15,1,0,0,0,3.1898980954642875,0.0,0,0,0,0,0.0,0,4,2,0,11366.0
http://reissuerecords.net,tranco,,,,,0,469078.0,25,1,0,0,0,3.673269689515107,0.0,0,0,0,0,0.0,0,2,13,0,5455.0
http://calix.com,tranco,,,,,0,13012.0,16,1,0,0,0,3.625,0.0,0,0,0,0,0.0,0,3,4,0,11071.0
http://mlo-wps.com.cn,tranco,,,,,0,855403.0,21,2,0,1,0,3.7256507561120933,0.5,0,0,0,0,0.0,0,1,5,0,93.0
http://billetweb.fr,tranco,,,,,0,20945.0,19,1,0,0,0,3.5766176449086653,0.5,0,0,0,0,0.0,0,3,7,0,4653.0
http://verkkotunnukset.fi,tranco,,,,,0,908402.0,25,1,0,0,0,3.8136606896881853,0.5,0,0,0,0,0.0,0,1,13,0,8372.0
http://informunity.es,tranco,,,,,0,736309.0,21,1,0,0,0,3.8801799226757367,0.5,0,0,0,0,0.0,0,1,8,0,
http://freedom.press,tranco,,,,,0,79811.0,20,1,0,0,0,3.584183719779189,0.5,0,0,0,0,0.0,0,3,7,1,4333.0
http://etm-system.com,tranco,,,,,0,358217.0,21,1,0,1,0,3.4992275417233567,0.0,0,0,0,0,0.0,0,2,7,0,5534.0
http://modarchive.org,tranco,,,,,0,174919.0,21,1,0,0,0,3.916126946588283,0.0,0,0,0,0,0.0,0,2,9,0,8042.0
http://moderncardsonline.com,tranco,,,,,0,579996.0,28,1,0,0,0,3.9677201004744993,0.0,0,0,0,0,0.0,0,1,12,0,154.0
http://cineblog001.surf,tranco,,,,,0,658505.0,23,1,0,0,0,4.262692390839622,0.5,0,0,0,0,0.13043478260869565,0,1,12,0,61.0
http://chikeefatimid.qpon,tranco,,,,,0,146534.0,25,1,0,0,0,3.9434651896016453,0.5,0,0,0,0,0.0,0,2,13,0,277.0
http://idratherbewriting.com,tranco,,,,,0,456755.0,28,1,0,0,0,3.967720100474499,0.0,0,0,0,0,0.0,0,2,13,0,7377.0
http://inbank.pl,tranco,,,,,0,690868.0,16,1,0,0,0,3.5,0.5,0,0,0,0,0.0,0,1,5,0,7350.0
http://transdata.no,tranco,,,,,0,453218.0,19,1,0,0,0,3.3660913291191914,0.5,0,0,0,0,0.0,0,2,8,0,3966.0
http://feelflora.ru,tranco,,,,,0,851375.0,19,1,0,0,0,3.616348566075164,0.5,0,0,0,0,0.0,0,1,8,0,2056.0
